"Probe_Set_ID"	"Transcript_ID_Array_Design_"	"Variance_Residual"	"SumVariance"	"SampleVariance"	"RSquare"	"F_T3_co2"	"F_T3_dev"	"F_T3_co2_dev"	"PrF_T3_co2"	"PrF_T3_dev"	"PrF_T3_co2_dev"	"Lsmean_co2_A"	"Lsmean_co2_E"	"Lsmean_dev_expanding"	"Lsmean_dev_fullexpand"	"Lsmean_dev_primordia"	"LinearLsmean_A_expanding"	"linearLsmean_A_fullexpand"	"linearLsmean_A_primordia"	"linearLsmean_E_expanding"	"linearLsmean_E_fullexpand"	"linearLsmean_E_primordia"	"percentage_A_PvX"	"percentage_A_PvE"	"percentage_A_EvX"	"percentage_E_PvX"	"percentage_E_PvE"	"percentage_E_EvX"	"neglog10pvalue_A_expanding_E_expanding"	"neglog10pvalue_A_fullexpand_E_fullexpand"	"neglog10pvalue_A_primordia_E_primordia"	"Cluster"	"Lsmean_A_expanding"	"Lsmean_A_fullexpand"	"Lsmean_A_primordia"	"Lsmean_E_expanding"	"Lsmean_E_fullexpand"	"Lsmean_E_primordia"	"BINCODE"	"NAME"	"BINCODE2"	"NAME2"	"BINCODE3"	"NAME3"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"
"245001_at"	"psbM"	0.103146	0.103146	0.134392	0.415237	5.53134	2.49269	0.58295	0.0318	0.1142	0.5697	5.818943	5.493896	5.676839	5.824768	5.467651	60.04108	64.94371	46.13635	43.58624	49.46781	42.44348	30.13833	40.76474	8.165469	2.692442	16.54984	13.49408	1.012596	0.98711	0.219402	4	5.907878	6.021118	5.527832	5.445801	5.628418	5.407471	"1.1.1.2"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	NA	NA	NA	NA	-8.00425261209437	-27.4059693796314	-23.8297134549289
"245013_at"	"atpE"	0.008766	0.008766	0.058728	0.886278	4.93812	59.3455	0.29118	0.041	9.999e-05	0.7513	6.039266	5.949734	6.219157	6.066711	5.697632	75.85209	70.08244	53.5086	73.17084	64.10838	50.33758	41.75681	30.97414	-7.60645	45.36027	27.35689	-12.3854	0.295228	1.154859	0.695173	4	6.245117	6.130981	5.741699	6.193197	6.002441	5.653564	"1.1.4.3"	"PS.lightreaction.ATP synthase.epsilon chain"	NA	NA	NA	NA	-5.92618756611087	-3.53483997606395	-8.52433220076243
"245035_at"	"At2g26400"	0.511314	0.511314	2.918936	0.866536	9.12516	47.0227	0.52212	0.0081	9.999e-05	0.603	-0.70043	0.229112	-1.4856	-1.04132	1.819946	0.234853	0.333926	2.971701	0.542983	0.706989	4.194806	-92.097	-88.7631	42.18507	-87.0558	-83.1461	30.20456	1.260498	1.317966	0.468558	7	-2.09017	-1.5824	1.571289	-0.88102	-0.50024	2.068604	"35.1"	"not assigned.no ontology"	NA	NA	NA	NA	41.1584139857947	131.201219486232	111.720261375275
"245039_at"	"At2g26600"	0.038261	0.038261	0.593895	0.950915	5.0432	151.814	0.90102	0.0392	9.999e-05	0.4258	-0.39118	-0.20215	-0.05656	0.414368	-1.2478	0.86203	1.238186	0.415356	1.072572	1.43446	0.4269	107.5401	198.1024	43.63606	151.2466	236.0179	33.74028	1.181067	0.840506	0.108694	4	-0.21419	0.308228	-1.26758	0.101074	0.520508	-1.22803	"26.4.1"	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	NA	NA	NA	NA	2.77930257417733	24.4239759637136	15.8517379456721
"245042_at"	"At2g26540"	0.031236	0.031236	0.116627	0.795937	7.84011	24.5598	2.8053	0.0128	9.999e-05	0.0903	0.63996	0.427002	0.89445	0.226746	0.479248	2.033215	1.342505	1.386253	1.699531	1.019996	1.401824	46.66982	-3.1559	-33.9714	21.23716	-27.2379	-39.9837	1.036078	2.227624	0.046232	5	1.023763	0.424927	0.471191	0.765137	0.028564	0.487305	"19.6"	"tetrapyrrole synthesis.uroporphyrinogen III synthase"	NA	NA	NA	NA	1.12324373689363	-16.4116436284407	-24.0229272889114
"245051_at"	"At2g23320"	0.080493	0.080493	0.289287	0.788004	4.94999	24.9909	2.82172	0.0408	9.999e-05	0.0892	-0.82336	-0.55173	-0.40682	-0.37726	-1.27856	0.602298	0.707406	0.42359	0.944623	0.837912	0.401127	42.18901	67.00253	17.45108	135.4923	108.8895	-11.2967	1.89383	0.617911	0.154697	4	-0.73145	-0.49939	-1.23926	-0.08219	-0.25513	-1.31787	"27.3.32"	"RNA.regulation of transcription.WRKY domain transcription factor family"	NA	NA	NA	NA	-5.30300526452466	56.8364829370179	18.4485288504763
"245052_at"	"At2g26440"	0.153187	0.153187	0.487208	0.760444	18.1634	13.0912	3.23942	6e-04	4e-04	0.0659	-0.99934	-0.28152	-0.48836	-0.23016	-1.20276	0.540722	0.567904	0.407627	0.939731	1.279834	0.463024	32.65141	39.31977	5.026981	102.955	176.4075	36.19153	1.62146	3.20082	0.287365	6	-0.88704	-0.81628	-1.29468	-0.08968	0.355957	-1.11084	"10.8.1"	"cell wall.pectin*esterases.PME"	NA	NA	NA	NA	13.5901203796608	73.7918930614992	125.360976503071
"245084_at"	"At2g23290"	0.050649	0.050649	0.074826	0.48428	12.2989	0.8135	0.50308	0.0029	0.4608	0.6139	-1.92034	-1.5807	-1.75627	-1.81927	-1.67603	0.261304	0.243177	0.290194	0.335334	0.33019	0.337477	-9.9555	-16.2019	-6.93697	-0.63498	-2.15907	-1.53383	1.168429	1.867222	0.721078	6	-1.9362	-2.03992	-1.78491	-1.57633	-1.59863	-1.56714	"27.3.25"	"RNA.regulation of transcription.MYB domain transcription factor family"	NA	NA	NA	NA	16.2935829134993	28.3309861310964	35.7817556759068
"245094_at"	"At2g40840"	0.03927	0.03927	0.157727	0.810306	7.54756	29.2314	1.69613	0.0143	9.999e-05	0.2147	1.83473	1.60045	2.045654	1.831848	1.275269	4.814056	3.829442	2.461956	3.540752	3.309385	2.379621	95.53786	55.54467	-20.4529	48.79479	39.07191	-6.53442	1.836974	0.81706	0.13623	4	2.267253	1.937134	1.299805	1.824056	1.726563	1.250732	"2.2.2.4"	"major CHO metabolism.degradation.starch.D enzyme"	NA	NA	NA	NA	-3.34429209945261	-26.4497130901676	-13.580490316866
"245109_at"	"At2g41520"	0.030037	0.030037	0.073584	0.688992	7.81814	11.9962	1.62207	0.0129	7e-04	0.2283	-1.16291	-1.37145	-1.22957	-1.49615	-1.07581	0.452848	0.404365	0.486479	0.40158	0.310779	0.462633	-6.9131	-16.8793	-10.7063	-13.1968	-32.8239	-22.611	0.622831	2.161351	0.250005	5	-1.1429	-1.30627	-1.03955	-1.31624	-1.68604	-1.11206	"20.2.1"	"stress.abiotic.heat"	NA	NA	NA	NA	-4.90175321031329	-11.3212380313041	-23.143941735808
